"id","title","description","difficulty","keywords","project_ideas"
"100","Introduction to Algorithms","Basic concepts of algorithm design","Beginner","""algorithms, sorting, search""","Design a sorting visualizer"
"101","Data Structures","""Fundamentals of arrays"," linked lists"," and trees"",Beginner,""data structures, arrays, trees""","Build a binary search tree simulator"
"102","Object-Oriented Programming","Principles of OOP and class design","Intermediate","""OOP, classes, inheritance""","Create a simple game using OOP"
"103","Database Management","Introduction to SQL and database design","Intermediate","""SQL, databases, normalization""","Develop a student database system"
"104","Computer Networks","Basics of networking and protocols","Intermediate","""networks, TCP/IP, protocols""","Simulate a basic network topology"
"105","Artificial Intelligence","Overview of AI and machine learning","Advanced","""AI, machine learning, neural networks""","Build a chatbot prototype"
"106","Cybersecurity Fundamentals","Introduction to security principles","Intermediate","""cybersecurity, encryption, hacking""","Design a password manager"
"107","Operating Systems","Core concepts of OS and process management","Advanced","""OS, processes, threads""","Create a process scheduler simulation"
"108","Web Development","""Basics of HTML"," CSS"," and JavaScript"",Beginner,""web development, HTML, JavaScript""","Develop a personal portfolio site"
"109","Cloud Computing","Introduction to cloud services and deployment","Advanced","""cloud, AWS, deployment""","Set up a small cloud-based app"
"110","Algorithm Analysis","Techniques for evaluating algorithm efficiency","Intermediate","""analysis, complexity, time efficiency""","Analyze sorting algorithm performance"
"111","Graph Theory","Study of graphs and their applications","Intermediate","""graphs, traversal, shortest path""","Implement a maze solver using graphs"
"112","Functional Programming","Principles of functional programming paradigms","Intermediate","""FP, lambda, recursion""","Write a functional calculator"
"113","Parallel Computing","Concepts of parallel processing and concurrency","Advanced","""parallelism, threads, multiprocessing""","Simulate a parallel task executor"
"114","Compiler Design","Fundamentals of compiler construction","Advanced","""compilers, parsing, optimization""","Build a simple interpreter"
"115","Software Engineering","Best practices in software development","Intermediate","""SDLC, agile, testing""","Design a project management tool"
"116","Internet of Things (IoT)","Introduction to IoT devices and systems","Intermediate","""IoT, sensors, connectivity""","Create a smart home prototype"
"117","Mobile Computing","Development for mobile platforms","Intermediate","""mobile, Android, iOS""","Develop a mobile weather app"
"118","Quantum Computing","""Basics of quantum algorithms and qubits""","Advanced","""quantum, qubits, superposition""","Simulate a quantum circuit"
"119","Blockchain Technology","""Fundamentals of blockchain and cryptocurrencies""","Intermediate","""blockchain, crypto, smart contracts""","Build a basic blockchain"
"120","Computer Graphics","""Principles of rendering and 3D modeling""","Intermediate","""graphics, OpenGL, rendering""","Create a 3D cube rotator"
"121","Human-Computer Interaction","Design of user-friendly interfaces","Intermediate","""HCI, UX, usability""","Design a user testing platform"
"122","Distributed Systems","Concepts of distributed computing","Advanced","""distributed, consensus, scalability""","Simulate a distributed file system"
"123","Robotics","Introduction to robotic systems and control","Advanced","""robotics, control, sensors""","Build a robotic arm simulator"
"124","Natural Language Processing","Techniques for language understanding","Advanced","""NLP, sentiment, tokenization""","Develop a text summarizer"
"125","Computer Vision","Image processing and object recognition","Advanced","""vision, OpenCV, recognition""","Create an image classifier"
"126","Software Testing","Methods for ensuring software quality","Intermediate","""testing, QA, automation""","Design an automated test suite"
"127","DevOps Practices","Integration of development and operations","Intermediate","""DevOps, CI/CD, automation""","Set up a CI/CD pipeline"
"128","Game Development","Fundamentals of game design and engines","Intermediate","""games, Unity, physics""","Build a 2D platformer game"
"129","Embedded Systems","Programming for embedded devices","Advanced","""embedded, microcontrollers, IoT""","Develop a temperature sensor"
"130","Big Data Analytics","Handling and analyzing large datasets","Advanced","""big data, Hadoop, analytics""","Analyze a large dataset with Hadoop"
"131","Augmented Reality","Basics of AR technology and applications","Advanced","""AR, Unity, overlays""","Create an AR navigation app"
"132","Virtual Reality","Fundamentals of VR development","Advanced","""VR, Oculus, immersion""","Design a VR training simulation"
"133","Machine Learning Algorithms","In-depth study of ML techniques","Advanced","""ML, regression, classification""","Build a predictive model"
"134","Cryptology","Principles of encryption and decryption","Intermediate","""cryptology, ciphers, security""","Implement a Caesar cipher"
